Rainfallmm,Month,Year
48.3,Apr,1956
44.8,May,1956
76.4,Jun,1956
122.4,Jul,1956
160.4,Aug,1956
105.7,Sep,1956
82.4,Oct,1956
58.5,Nov,1956
140.5,Dec,1956
120.5,Jan,1957
99.4,Feb,1957
92.4,Mar,1957
27.6,Apr,1957
51.7,May,1957
57.4,Jun,1957
123.1,Jul,1957
121.1,Aug,1957
120.4,Sep,1957
102.6,Oct,1957
65.6,Nov,1957
119.6,Dec,1957
113.9,Jan,1958
117.9,Feb,1958
51.3,Mar,1958
43.6,Apr,1958
94.6,May,1958
100.1,Jun,1958
106.6,Jul,1958
110.4,Aug,1958
119.4,Sep,1958
102.3,Oct,1958
55.3,Nov,1958
120.3,Dec,1958
102.8,Jan,1959
25.3,Feb,1959
74.5,Mar,1959
91.2,Apr,1959
34.8,May,1959
62.4,Jun,1959
92.9,Jul,1959
44.1,Aug,1959
23.8,Sep,1959
119.1,Oct,1959
144.6,Nov,1959
177.7,Dec,1959
125.2,Jan,1960
98.5,Feb,1960
51.4,Mar,1960
68.5,Apr,1960
46.4,May,1960
59.2,Jun,1960
110.8,Jul,1960
117.8,Aug,1960
101.9,Sep,1960
146.3,Oct,1960
147.4,Nov,1960
125.5,Dec,1960
115.7,Jan,1961
92.8,Feb,1961
42.5,Mar,1961
96.7,Apr,1961
45.9,May,1961
51,Jun,1961
81.7,Jul,1961
104.5,Aug,1961
102.3,Sep,1961
142.3,Oct,1961
78.8,Nov,1961
100.2,Dec,1961
148.6,Jan,1962
70,Feb,1962
50.5,Mar,1962
69.1,Apr,1962
72.6,May,1962
41.5,Jun,1962
62.5,Jul,1962
136.8,Aug,1962
119.8,Sep,1962
53.6,Oct,1962
77.1,Nov,1962
102.4,Dec,1962
32.2,Jan,1963
34.1,Feb,1963
118,Mar,1963
79.4,Apr,1963
74.9,May,1963
84.8,Jun,1963
61.9,Jul,1963
109.8,Aug,1963
86.7,Sep,1963
90.8,Oct,1963
164.3,Nov,1963
38.7,Dec,1963
43.5,Jan,1964
37.3,Feb,1964
79.3,Mar,1964
74.8,Apr,1964
73,May,1964
75.6,Jun,1964
66.4,Jul,1964
84.2,Aug,1964
72.7,Sep,1964
78.7,Oct,1964
84.7,Nov,1964
125.3,Dec,1964
120.5,Jan,1965
24.1,Feb,1965
74.9,Mar,1965
77.5,Apr,1965
69.2,May,1965
87.1,Jun,1965
98,Jul,1965
86.5,Aug,1965
138.4,Sep,1965
69.7,Oct,1965
104.8,Nov,1965
160.8,Dec,1965
64.4,Jan,1966
122.9,Feb,1966
73.9,Mar,1966
88.9,Apr,1966
83.9,May,1966
101.3,Jun,1966
70.8,Jul,1966
97.2,Aug,1966
73.3,Sep,1966
122.6,Oct,1966
104.8,Nov,1966
155.8,Dec,1966
82.6,Jan,1967
105.4,Feb,1967
103.7,Mar,1967
54.4,Apr,1967
128.3,May,1967
49.2,Jun,1967
76.1,Jul,1967
81,Aug,1967
113.7,Sep,1967
192.5,Oct,1967
91.2,Nov,1967
96.4,Dec,1967
102.9,Jan,1968
52.5,Feb,1968
90.4,Mar,1968
64.9,Apr,1968
81.8,May,1968
77.4,Jun,1968
94.5,Jul,1968
65.7,Aug,1968
132.5,Sep,1968
129.3,Oct,1968
74.2,Nov,1968
79.6,Dec,1968
110.1,Jan,1969
70.5,Feb,1969
58.8,Mar,1969
62.2,Apr,1969
105.6,May,1969
65.3,Jun,1969
68.7,Jul,1969
74,Aug,1969
68.7,Sep,1969
58.5,Oct,1969
140.9,Nov,1969
96.8,Dec,1969
107.3,Jan,1970
104.1,Feb,1970
76.9,Mar,1970
90,Apr,1970
40.4,May,1970
52.3,Jun,1970
95.2,Jul,1970
91.7,Aug,1970
95.2,Sep,1970
109.7,Oct,1970
170.7,Nov,1970
61.6,Dec,1970
111,Jan,1971
57,Feb,1971
74.6,Mar,1971
52.9,Apr,1971
56.2,May,1971
86.9,Jun,1971
55.3,Jul,1971
102.9,Aug,1971
36.3,Sep,1971
100.9,Oct,1971
111.6,Nov,1971
67.2,Dec,1971
114.7,Jan,1972
79.2,Feb,1972
75.9,Mar,1972
85.5,Apr,1972
86.7,May,1972
89.5,Jun,1972
56.2,Jul,1972
51.1,Aug,1972
35.4,Sep,1972
47.5,Oct,1972
123.5,Nov,1972
116.1,Dec,1972
68.7,Jan,1973
66.8,Feb,1973
41.6,Mar,1973
69.7,Apr,1973
83.1,May,1973
66.7,Jun,1973
83.8,Jul,1973
79.6,Aug,1973
84.7,Sep,1973
61,Oct,1973
95.1,Nov,1973
104.3,Dec,1973
169.3,Jan,1974
109.5,Feb,1974
51.7,Mar,1974
14.4,Apr,1974
53.8,May,1974
63.1,Jun,1974
85.5,Jul,1974
89.9,Aug,1974
141.5,Sep,1974
93.6,Oct,1974
144.9,Nov,1974
135.9,Dec,1974
164.9,Jan,1975
35.4,Feb,1975
69.3,Mar,1975
78.2,Apr,1975
40.6,May,1975
34.5,Jun,1975
77.5,Jul,1975
59,Aug,1975
125.4,Sep,1975
52.7,Oct,1975
94.4,Nov,1975
67.5,Dec,1975
109.5,Jan,1976
60.2,Feb,1976
75.5,Mar,1976
34.6,Apr,1976
81.8,May,1976
37.5,Jun,1976
43.3,Jul,1976
23.7,Aug,1976
137.9,Sep,1976
159.7,Oct,1976
96.7,Nov,1976
91.1,Dec,1976
102.2,Jan,1977
129.5,Feb,1977
92.5,Mar,1977
77.4,Apr,1977
54.5,May,1977
75.2,Jun,1977
37.8,Jul,1977
94.1,Aug,1977
79,Sep,1977
104.9,Oct,1977
139.9,Nov,1977
92.1,Dec,1977
125.1,Jan,1978
82.8,Feb,1978
111.5,Mar,1978
46.5,Apr,1978
37.9,May,1978
60.5,Jun,1978
82.7,Jul,1978
74.5,Aug,1978
100,Sep,1978
52.4,Oct,1978
111.7,Nov,1978
154.1,Dec,1978
93.3,Jan,1979
52.6,Feb,1979
140,Mar,1979
73.3,Apr,1979
104.4,May,1979
49.4,Jun,1979
56,Jul,1979
103.5,Aug,1979
72.5,Sep,1979
99.6,Oct,1979
133.7,Nov,1979
166.5,Dec,1979
89.2,Jan,1980
91.7,Feb,1980
100.2,Mar,1980
17.8,Apr,1980
27.8,May,1980
121.3,Jun,1980
81.8,Jul,1980
100.2,Aug,1980
107.9,Sep,1980
145.5,Oct,1980
117.3,Nov,1980
128.4,Dec,1980
96.3,Jan,1981
67.8,Feb,1981
150.3,Mar,1981
48,Apr,1981
87.1,May,1981
64.7,Jun,1981
64.6,Jul,1981
44.9,Aug,1981
168.8,Sep,1981
154.1,Oct,1981
123.5,Nov,1981
86.2,Dec,1981
100.2,Jan,1982
71.2,Feb,1982
117.4,Mar,1982
29.7,Apr,1982
58.8,May,1982
96.9,Jun,1982
38.5,Jul,1982
106.3,Aug,1982
117.2,Sep,1982
138.1,Oct,1982
157.9,Nov,1982
138,Dec,1982
147.2,Jan,1983
45.6,Feb,1983
97.4,Mar,1983
87.2,Apr,1983
102.5,May,1983
49.3,Jun,1983
37.5,Jul,1983
37.3,Aug,1983
120.1,Sep,1983
138.4,Oct,1983
50.4,Nov,1983
148.7,Dec,1983
167.2,Jan,1984
75.6,Feb,1984
72.1,Mar,1984
27.6,Apr,1984
44.7,May,1984
50.4,Jun,1984
35.8,Jul,1984
54.9,Aug,1984
128.6,Sep,1984
135,Oct,1984
166.9,Nov,1984
107.5,Dec,1984
75.3,Jan,1985
34.5,Feb,1985
75.5,Mar,1985
81.4,Apr,1985
66.8,May,1985
88,Jun,1985
102.3,Jul,1985
152.8,Aug,1985
97.8,Sep,1985
58.4,Oct,1985
97,Nov,1985
144.4,Dec,1985
142.9,Jan,1986
17,Feb,1986
108.4,Mar,1986
82.1,Apr,1986
114.6,May,1986
47.8,Jun,1986
65,Jul,1986
116.4,Aug,1986
35.2,Sep,1986
116.1,Oct,1986
155.6,Nov,1986
184.1,Dec,1986
44.3,Jan,1987
67.3,Feb,1987
109.8,Mar,1987
62.6,Apr,1987
53.3,May,1987
100.3,Jun,1987
82.9,Jul,1987
84.5,Aug,1987
92,Sep,1987
161,Oct,1987
89.8,Nov,1987
88.6,Dec,1987
166.6,Jan,1988
88.8,Feb,1988
123.9,Mar,1988
50.7,Apr,1988
56.8,May,1988
36.2,Jun,1988
145.3,Jul,1988
112.9,Aug,1988
91.5,Sep,1988
116.3,Oct,1988
64.2,Nov,1988
79.8,Dec,1988
95.8,Jan,1989
133.8,Feb,1989
121.7,Mar,1989
76.9,Apr,1989
31,May,1989
61,Jun,1989
41,Jul,1989
98.7,Aug,1989
58.1,Sep,1989
126.4,Oct,1989
59.5,Nov,1989
116.8,Dec,1989
166.1,Jan,1990
187.9,Feb,1990
92.9,Mar,1990
57.9,Apr,1990
34.4,May,1990
90.7,Jun,1990
47.9,Jul,1990
70.7,Aug,1990
81.1,Sep,1990
140.1,Oct,1990
77.7,Nov,1990
127.5,Dec,1990
109.1,Jan,1991
68.6,Feb,1991
92.1,Mar,1991
87.6,Apr,1991
22,May,1991
100.2,Jun,1991
